Показник,Територіальний розріз,Періодичність,Кількість,Рік
Середня чисельність постійного населення,Україна,Річна,41575748,2020
Середня чисельність постійного населення,Вінницька,Річна,1530184,2020
Середня чисельність постійного населення,Волинська,Річна,1026681,2020
Середня чисельність постійного населення,Дніпропетровська,Річна,3156032,2020
Середня чисельність постійного населення,Донецька,Річна,4103159,2020
Середня чисельність постійного населення,Житомирська,Річна,1202622,2020
Середня чисельність постійного населення,Закарпатська,Річна,1249127,2020
Середня чисельність постійного населення,Запорізька,Річна,1676169,2020
Середня чисельність постійного населення,Івано-Франківська,Річна,1361877,2020
Середня чисельність постійного населення,Київська,Річна,1779008,2020
Середня чисельність постійного населення,Кіровоградська,Річна,920203,2020
Середня чисельність постійного населення,Луганська,Річна,2124020,2020
Середня чисельність постійного населення,Львівська,Річна,2486547,2020
Середня чисельність постійного населення,Миколаївська,Річна,1113413,2020
Середня чисельність постійного населення,Одеська,Річна,2361609,2020
Середня чисельність постійного населення,Полтавська,Річна,1371415,2020
Середня чисельність постійного населення,Рівненська,Річна,1149648,2020
Середня чисельність постійного населення,Сумська,Річна,1058658,2020
Середня чисельність постійного населення,Тернопільська,Річна,1031378,2020
Середня чисельність постійного населення,Харківська,Річна,2630512,2020
Середня чисельність постійного населення,Херсонська,Річна,1020878,2020
Середня чисельність постійного населення,Хмельницька,Річна,1246082,2020
Середня чисельність постійного населення,Черкаська,Річна,1181573,2020
Середня чисельність постійного населення,Чернівецька,Річна,896034,2020
Середня чисельність постійного населення,Чернігівська,Річна,975456,2020
Середня чисельність постійного населення,Київ,Річна,2923463,2020
